"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2023","1,148.21","1,138.07","1,148.55","1,138.07","833.75K","0.89%"
"07/07/2023","1,138.07","1,126.22","1,138.07","1,122.94","798.40K","1.05%"
"07/06/2023","1,126.22","1,134.62","1,135.81","1,122.35","921.11K","-0.74%"
"07/05/2023","1,134.62","1,132.00","1,138.67","1,132.00","807.03K","0.23%"
"07/04/2023","1,132.00","1,125.50","1,132.12","1,123.49","701.31K","0.58%"
"07/03/2023","1,125.50","1,120.18","1,128.35","1,120.18","558.38K","0.47%"
"06/30/2023","1,120.18","1,125.39","1,126.33","1,120.01","617.53K","-0.46%"
"06/29/2023","1,125.39","1,139.42","1,140.43","1,125.39","906.89K","-1.14%"
"06/28/2023","1,138.35","1,134.33","1,140.56","1,131.86","892.14K","0.35%"
"06/27/2023","1,134.33","1,132.03","1,136.49","1,128.82","722.00K","0.20%"
"06/26/2023","1,132.03","1,129.38","1,134.00","1,119.95","1.04M","0.23%"
"06/23/2023","1,129.38","1,125.30","1,130.61","1,122.62","906.63K","0.36%"
"06/22/2023","1,125.30","1,118.46","1,127.54","1,118.46","919.32K","0.61%"
"06/21/2023","1,118.46","1,112.73","1,118.46","1,110.65","875.89K","0.61%"
"06/20/2023","1,111.72","1,105.40","1,111.72","1,102.58","695.59K","0.57%"
"06/19/2023","1,105.40","1,115.22","1,117.23","1,104.73","811.31K","-0.88%"
"06/16/2023","1,115.22","1,116.97","1,128.92","1,112.51","1.17M","-0.16%"
"06/15/2023","1,116.97","1,117.42","1,120.13","1,112.11","716.88K","-0.04%"
"06/14/2023","1,117.42","1,122.46","1,129.49","1,117.42","928.60K","-0.45%"
"06/13/2023","1,122.46","1,116.02","1,122.46","1,116.02","943.54K","0.58%"
"06/12/2023","1,116.02","1,110.26","1,116.02","1,100.08","797.98K","0.77%"
"06/09/2023","1,107.53","1,101.32","1,107.53","1,097.23","902.21K","0.56%"
"06/08/2023","1,101.32","1,109.54","1,115.14","1,101.32","1.32M","-0.74%"
"06/07/2023","1,109.54","1,108.31","1,112.28","1,104.26","1.00M","0.11%"
"06/06/2023","1,108.31","1,097.82","1,108.31","1,097.82","842.76K","0.96%"
"06/05/2023","1,097.82","1,090.84","1,103.81","1,090.84","948.36K","0.64%"
"06/02/2023","1,090.84","1,084.19","1,092.24","1,083.36","1.04M","1.15%"
"06/01/2023","1,078.39","1,075.17","1,078.39","1,071.61","856.81K","0.30%"
"05/31/2023","1,075.17","1,078.05","1,079.11","1,071.38","924.36K","-0.27%"
"05/30/2023","1,078.05","1,074.98","1,079.31","1,071.01","922.94K","0.29%"
"05/29/2023","1,074.98","1,063.76","1,077.18","1,063.76","844.88K","1.05%"
"05/26/2023","1,063.76","1,064.63","1,067.28","1,063.76","640.72K","-0.08%"
"05/25/2023","1,064.63","1,061.79","1,065.50","1,057.91","669.53K","0.27%"
"05/24/2023","1,061.79","1,065.85","1,069.61","1,060.60","794.10K","-0.38%"
"05/23/2023","1,065.85","1,073.12","1,073.96","1,062.15","721.99K","-0.45%"
"05/22/2023","1,070.64","1,067.07","1,070.64","1,065.88","711.11K","0.33%"
"05/19/2023","1,067.07","1,068.31","1,070.15","1,058.56","755.49K","-0.12%"
"05/18/2023","1,068.31","1,060.44","1,073.41","1,060.44","649.54K","0.74%"
"05/17/2023","1,060.44","1,065.91","1,069.95","1,060.44","836.83K","-0.51%"
"05/16/2023","1,065.91","1,065.71","1,069.27","1,063.65","681.38K","0.02%"
"05/15/2023","1,065.71","1,066.90","1,076.32","1,065.71","834.50K","-0.11%"
"05/12/2023","1,066.90","1,057.12","1,066.90","1,053.97","725.83K","0.93%"
